Project Name,Full Name,URL,Stars,Forks,Primary Language,Latest Commit Time,App,Cloud,Edge,Device,Primary Lan P/T Ratio,LOC,Primary Language LOC,Primary Lan #Test,Primary Lan TestLOC,Diff-Test-Language,Multi-Test-Language,PythonTestFile,PythonMockFile,PythonMockRate,PythonTestCases,PythonTestLOC,JSTestFile,JSMockFile,JSMockRate,JSTestCases,JSTestLOC,JavaTestFile,JavaMockFile,JavaMockRate,JavaTestCases,JavaTestLOC,TotalCases,TotalCaseLOC
Adafruit_IO_Python,adafruit/Adafruit_IO_Python,https://github.com/adafruit/Adafruit_IO_Python,201,90,Python,2022-03-10T19:53:02Z,1,0,1,1,5.720698254,3330,2695,46,401,0,0,4,0,0,46,401,0,0,0,0,0,0,0,0,0,0,46,401
amazon-dash,Nekmo/amazon-dash,https://github.com/Nekmo/amazon-dash,755,67,Python,2022-05-18T22:18:43Z,0,0,1,0,3.559322034,4949,2959,118,649,0,0,8,3,0.375,118,649,0,0,0,0,0,0,0,0,0,0,118,649
blynk-server,blynkkk/blynk-server,https://github.com/blynkkk/blynk-server,50,42,Java,2022-06-09T09:20:58Z,1,1,0,0,20.21853282,60392,54956,175,2590,0,0,0,0,0,0,0,0,0,0,0,0,51,8,0.1568627451,175,2590,175,2590
cylon,hybridgroup/cylon,https://github.com/hybridgroup/cylon,3.9k,376,JavaScript,2016-08-26T10:16:22Z,0,1,0,0,3.186256781,6075,4630,226,1106,1,0,0,0,0,0,0,16,1,0.0625,226,1106,0,0,0,0,0,226,1106
devicehive-java-server,devicehive/devicehive-java-server,https://github.com/devicehive/devicehive-java-server,277,106,Java,2018-05-25T11:39:49Z,0,1,0,0,24.43495146,32153,26198,51,1030,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0.5,51,1030,51,1030
ditto,eclipse/ditto,https://github.com/eclipse/ditto,375,135,Java,2022-06-22T11:00:49Z,0,0,0,0,3.437639185,488497,372633,8432,83971,0,0,0,0,0,0,0,0,0,0,0,0,1213,172,0.141797197,8432,83971,8432,83971
entity-controller,danobot/entity-controller,https://github.com/danobot/entity-controller,186,39,Python,2022-04-27T12:53:03Z,0,1,0,0,8.309734513,13851,4208,24,452,0,0,6,4,0.6666666667,24,452,0,0,0,0,0,0,0,0,0,0,24,452
freedomotic,freedomotic/freedomotic,https://github.com/freedomotic/freedomotic,373,492,Java,2022-04-06T16:21:39Z,1,1,0,0,42.32148377,92362,56058,124,1294,0,0,0,0,0,0,0,0,0,0,0,0,37,2,0.05405405405,124,1294,124,1294
Gladys,GladysAssistant/Gladys,https://github.com/GladysAssistant/Gladys,2.1k,253,JavaScript,2022-06-20T20:25:55Z,1,1,0,0,2.21299403,167100,73735,1422,22949,1,1,1,0,0,1,8,351,41,0.1168091168,1422,22949,0,0,0,0,0,1423,22957
Grow.js,JakeHartnell/Grow.js,https://github.com/JakeHartnell/Grow.js,21,11,JavaScript,2017-09-03T19:59:58Z,0,1,0,0,10.96396396,8109,2656,33,222,0,0,0,0,0,0,0,3,0,0,33,222,0,0,0,0,0,33,222
Grow-IoT,CommonGarden/Grow-IoT,https://github.com/CommonGarden/Grow-IoT,21,4,JavaScript,2018-08-30T18:24:20Z,1,1,0,0,31.06735751,33171,6189,27,193,0,0,0,0,0,0,0,3,0,0,27,193,0,0,0,0,0,27,193
HAP-python,ikalchev/HAP-python,https://github.com/ikalchev/HAP-python,468,106,Python,2022-01-11T20:39:37Z,0,0,1,1,1.834140436,12829,9364,116,3304,0,0,16,0,0,116,3304,0,0,0,0,0,0,0,0,0,0,116,3304
hawkbit,eclipse/hawkbit,https://github.com/eclipse/hawkbit,330,154,Java,2022-06-10T16:28:59Z,0,0,0,0,3.744342482,140405,114258,1366,24083,0,0,0,0,0,0,0,0,0,0,0,0,143,28,0.1958041958,1366,24083,1366,24083
home-assistant,home-assistant/core,https://github.com/home-assistant/home-assistant,53.5k,18.6k,Python,2022-06-23T21:35:10Z,1,1,0,0,1.822383055,1761443,1169906,16428,414510,0,0,2199,748,0.3401546157,16428,414510,0,0,0,0,0,0,0,0,0,0,16428,414510
hono,eclipse/hono,https://github.com/eclipse/hono,377,127,Java,2022-06-22T08:23:27Z,0,0,1,0,4.123579886,150737,106883,1320,20861,0,0,0,0,0,0,0,0,0,0,0,0,238,114,0.4789915966,1320,20861,1320,20861
iotagent-json,telefonicaid/iotagent-json,https://github.com/telefonicaid/iotagent-json,36,75,JavaScript,2022-06-15T06:42:30Z,0,0,1,0,5.080548415,13346,7096,108,1167,0,0,0,0,0,0,0,20,15,0.75,108,1167,0,0,0,0,0,108,1167
iotagent-node-lib,telefonicaid/iotagent-node-lib,https://github.com/telefonicaid/iotagent-node-lib,52,69,JavaScript,2022-06-23T09:19:21Z,0,0,1,0,4.387532694,50287,37077,715,6882,0,0,0,0,0,0,0,83,28,0.3373493976,715,6882,0,0,0,0,0,715,6882
iotagent-ul,telefonicaid/iotagent-ul,https://github.com/telefonicaid/iotagent-ul,32,50,JavaScript,2022-06-15T06:40:38Z,0,0,1,0,4.774047187,10895,6363,124,1102,0,0,0,0,0,0,0,14,7,0.5,124,1102,0,0,0,0,0,124,1102
iotedgedev,Azure/iotedgedev,https://github.com/Azure/iotedgedev,136,62,Python,2022-06-15T09:38:30Z,0,0,0,0,3.855670103,10686,5181,126,1067,0,0,16,8,0.5,126,1067,0,0,0,0,0,0,0,0,0,0,126,1067
kapua,eclipse/kapua,https://github.com/eclipse/kapua,191,158,Java,2022-06-23T14:24:49Z,1,1,0,0,6.825087651,290587,200870,2902,25670,0,0,0,0,0,0,0,0,0,0,0,0,379,111,0.2928759894,2902,25670,2902,25670
kura,eclipse/kura,https://github.com/eclipse/kura,419,290,Java,2022-06-20T09:46:44Z,0,0,1,0,5.26600074,351738,237118,2671,37842,0,0,0,0,0,0,0,0,0,0,0,0,246,121,0.4918699187,2671,37842,2671,37842
lightweightm2m-iotagent,telefonicaid/lightweightm2m-iotagent,https://github.com/telefonicaid/lightweightm2m-iotagent,22,30,JavaScript,2022-06-23T12:36:09Z,0,0,1,0,5.673295455,6533,2349,25,352,0,0,0,0,0,0,0,5,0,0,25,352,0,0,0,0,0,25,352
mcs-lite-app,MCS-Lite/mcs-lite-app,https://github.com/MCS-Lite/mcs-lite-app,29,15,JavaScript,2018-05-17T05:35:19Z,1,1,0,0,22.02763158,29022,17501,68,760,0,0,0,0,0,0,0,21,0,0,68,760,0,0,0,0,0,68,760
openhab-core,openhab/openhab-core,https://github.com/openhab/openhab-core,676,343,Java,2022-06-22T20:38:48Z,1,1,0,0,4.660316188,180011,155387,2151,27452,0,0,0,0,0,0,0,0,0,0,0,0,307,129,0.4201954397,2151,27452,2151,27452
particle-cli,particle-iot/particle-cli,https://github.com/particle-iot/particle-cli,213,94,JavaScript,2022-06-08T01:35:53Z,1,0,0,0,4.415878144,37045,23467,752,4333,0,0,0,0,0,0,0,71,5,0.07042253521,752,4333,0,0,0,0,0,752,4333
pytradfri,home-assistant-libs/pytradfri,https://github.com/ggravlingen/pytradfri,867,131,Python,2022-06-23T19:12:45Z,0,1,0,0,9.380851064,5446,4879,72,470,0,0,15,1,0.06666666667,72,470,0,0,0,0,0,0,0,0,0,0,72,470
sitewhere,sitewhere/sitewhere,https://github.com/sitewhere/sitewhere,892,370,Java,2021-03-23T20:20:57Z,1,1,0,0,368.3714286,40895,38784,13,105,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,105,13,105
smarthome,smarthomeNG/smarthome,https://github.com/smarthomeNG/smarthome,102,89,Java,2022-05-02T11:09:00Z,1,1,0,0,7.219035447,298497,218651,2126,26603,1,1,0,0,0,0,0,9,0,0,111,845,341,145,0.4252199413,2126,26603,2237,27448
synse-server,vapor-ware/synse-server,https://github.com/vapor-ware/synse-server,34,10,Python,2022-05-10T18:13:39Z,0,0,1,0,0.8324691579,14440,10249,348,5593,0,0,23,6,0.2608695652,348,5593,0,0,0,0,0,0,0,0,0,0,348,5593
thingsboard,thingsboard/thingsboard,https://github.com/thingsboard/thingsboard,11.9k,3.8k,Java,2022-06-21T14:18:45Z,1,1,0,0,7.19510847,396519,177924,1149,21711,1,1,9,0,0,86,1362,0,0,0,0,0,188,48,0.2553191489,1149,21711,1235,23073
tuyapi,codetheweb/tuyapi,https://github.com/codetheweb/tuyapi,1.5k,273,JavaScript,2022-06-22T02:40:04Z,0,1,0,0,8.066666667,33768,2040,26,225,0,0,0,0,0,0,0,4,0,0,26,225,0,0,0,0,0,26,225
yoda.js,yodaos-project/yoda.js,https://github.com/yodaos-project/yoda.js,184,48,JavaScript,2019-10-21T04:22:26Z,0,1,0,0,2.550860197,32571,21259,341,5987,0,0,0,0,0,0,0,102,39,0.3823529412,341,5987,0,0,0,0,0,341,5987
