Project Name,Full Name,URL,Stars,Forks,Primary Language,Latest Commit Time,App,Cloud,Edge,Device,Primary Lan P/T Ratio,LOC,Primaryl Lan LOC,Primary Lan TestLOC,HasTest,PythonTestCases,PythonTestLOC,JSTestCases,JSTestLOC,JavaTestCases,JavaTestLOC
Adafruit_IO_Python,adafruit/Adafruit_IO_Python,https://github.com/adafruit/Adafruit_IO_Python,201,90,Python,2022-03-10T19:53:02Z,1,0,1,1,5.720698254,3330,2695,401,1,46,401,0,0,0,0
amazon-dash,Nekmo/amazon-dash,https://github.com/Nekmo/amazon-dash,755,67,Python,2022-05-18T22:18:43Z,0,0,1,0,3.559322034,4949,2959,649,1,118,649,0,0,0,0
appdaemon,AppDaemon/appdaemon,https://github.com/home-assistant/appdaemon,649,377,Python,2022-01-25T13:40:51Z,1,1,0,0,N/A,63521,16611,0,1,0,0,0,0,0,0
arduino-mqtt,256dpi/arduino-mqtt,https://github.com/256dpi/arduino-mqtt,812,205,C,2021-05-19T20:52:12Z,0,0,1,1,N/A,2103,481,N/A,1,0,0,0,0,0,0
azure-iot-sdk-c,Azure/azure-iot-sdk-c,https://github.com/Azure/azure-iot-sdk-c,506,702,C,2022-06-21T15:57:57Z,0,0,1,1,N/A,234231,188525,N/A,1,0,0,0,0,0,0
blynk-library,blynkkk/blynk-library,https://github.com/blynkkk/blynk-library,3.4k,1.2k,C,2022-06-21T20:09:50Z,0,0,1,1,N/A,18995,1576,N/A,1,0,0,0,0,0,0
blynk-server,blynkkk/blynk-server,https://github.com/blynkkk/blynk-server,50,42,Java,2022-06-09T09:20:58Z,1,1,0,0,20.21853282,60392,54956,2590,1,0,0,0,0,175,2590
brad-homeassistant-config,oakbrad/brad-homeassistant-config,https://github.com/oakbrad/brad-homeassistant-config,209,22,Python,2017-10-25T21:35:07Z,0,0,0,0,N/A,10053,474,N/A,0,0,0,0,0,0,0
casanet-server,casanet/casanet-server,https://github.com/casanet/casanet-server,60,12,TypeScript,2021-12-25T18:02:20Z,1,1,0,0,N/A,27329,12350,N/A,1,0,0,0,0,0,0
cylon,hybridgroup/cylon,https://github.com/hybridgroup/cylon,3.9k,376,JavaScript,2016-08-26T10:16:22Z,0,1,0,0,3.186256781,6075,4630,1106,1,0,0,226,1106,0,0
dasshio,danimtb/dasshio,https://github.com/danimtb/dasshio,159,62,Python,2019-11-15T23:29:32Z,0,0,1,0,N/A,660,190,0,0,0,0,0,0,0,0
devicehive-java-server,devicehive/devicehive-java-server,https://github.com/devicehive/devicehive-java-server,277,106,Java,2018-05-25T11:39:49Z,0,1,0,0,24.43495146,32153,26198,1030,1,0,0,0,0,51,1030
device-os,particle-iot/device-os,https://github.com/particle-iot/device-os,1k,532,C++,2022-06-23T19:09:07Z,0,0,0,1,N/A,183057,102257,N/A,1,0,0,35,237,0,0
devkit-sdk,microsoft/devkit-sdk,https://github.com/microsoft/devkit-sdk,64,55,C,2020-07-14T07:21:10Z,0,0,0,1,N/A,130994,94242,N/A,1,0,0,0,0,0,0
ditto,eclipse/ditto,https://github.com/eclipse/ditto,375,135,Java,2022-06-22T11:00:49Z,0,0,0,0,3.437639185,488497,372633,83971,1,0,0,0,0,8432,83971
domoticz,domoticz/domoticz,https://github.com/domoticz/domoticz,3.1k,1.1k,C,2022-06-13T15:48:29Z,1,1,0,0,N/A,420045,9665,N/A,1,7,15,1,121,0,0
eclipse-smarthome,eclipse-archived/smarthome,https://github.com/eclipse/smarthome,863,823,JavaScript,2020-05-07T14:11:52Z,0,1,0,0,N/A,447392,82607,0,1,116,1216,0,0,0,0
embarc_osp,foss-for-synopsys-dwc-arc-processors/embarc_osp,https://github.com/foss-for-synopsys-dwc-arc-processors/embarc_osp,54,54,C,2021-12-21T08:46:25Z,0,0,1,1,N/A,468876,318608,N/A,1,8,93,0,0,0,0
entity-controller,danobot/entity-controller,https://github.com/danobot/entity-controller,186,39,Python,2022-04-27T12:53:03Z,0,1,0,0,8.309734513,13851,4208,452,1,24,452,0,0,0,0
esphome-core,esphome/esphome-core,https://github.com/esphome/esphome-core,545,115,C,2019-05-01T17:54:20Z,1,1,1,1,N/A,39291,3308,N/A,0,0,0,0,0,0,0
esp-mqtt,espressif/esp-mqtt,https://github.com/espressif/esp-mqtt,476,229,C,2022-06-14T13:40:57Z,0,0,1,1,N/A,5442,483,N/A,0,0,0,0,0,0,0
freedomotic,freedomotic/freedomotic,https://github.com/freedomotic/freedomotic,373,492,Java,2022-04-06T16:21:39Z,1,1,0,0,42.32148377,92362,56058,1294,1,0,0,0,0,124,1294
Gladys,GladysAssistant/Gladys,https://github.com/GladysAssistant/Gladys,2.1k,253,JavaScript,2022-06-20T20:25:55Z,1,1,0,0,2.21299403,167100,73735,22949,1,1,8,1422,22949,0,0
gobot,hybridgroup/gobot,https://github.com/hybridgroup/gobot,7.8k,959,Go,2022-05-02T19:56:19Z,0,1,0,0,N/A,105994,56142,N/A,1,0,0,0,0,0,0
GrovePi,DexterInd/GrovePi,https://github.com/DexterInd/GrovePi,466,471,Python,2022-01-19T20:31:01Z,0,0,0,1,N/A,401839,20488,0,1,0,0,0,0,0,0
Grow.js,JakeHartnell/Grow.js,https://github.com/JakeHartnell/Grow.js,21,11,JavaScript,2017-09-03T19:59:58Z,0,1,0,0,10.96396396,8109,2656,222,1,0,0,33,222,0,0
Grow-IoT,CommonGarden/Grow-IoT,https://github.com/CommonGarden/Grow-IoT,21,4,JavaScript,2018-08-30T18:24:20Z,1,1,0,0,31.06735751,33171,6189,193,1,0,0,27,193,0,0
HAP-python,ikalchev/HAP-python,https://github.com/ikalchev/HAP-python,468,106,Python,2022-01-11T20:39:37Z,0,0,1,1,1.834140436,12829,9364,3304,1,116,3304,0,0,0,0
hassio-zigbee2mqtt,zigbee2mqtt/hassio-zigbee2mqtt,https://github.com/zigbee2mqtt/hassio-zigbee2mqtt,386,150,Shell,2022-06-15T16:21:15Z,0,0,1,0,N/A,1093,40,N/A,0,0,0,0,0,0,0
hawkbit,eclipse/hawkbit,https://github.com/eclipse/hawkbit,330,154,Java,2022-06-10T16:28:59Z,0,0,0,0,3.744342482,140405,114258,24083,1,0,0,0,0,1366,24083
home-assistant,home-assistant/core,https://github.com/home-assistant/home-assistant,53.5k,18.6k,Python,2022-06-23T21:35:10Z,1,1,0,0,1.822383055,1761443,1169906,414510,1,16428,414510,0,0,0,0
Home-Assistant-Config,Norien/Home-Assistant-Config,https://github.com/Norien/Home-Assistant-Config,93,13,Python,2019-07-27T12:59:21Z,0,0,0,0,N/A,7752,28,0,0,0,0,0,0,0,0
homie-esp8266,homieiot/homie-esp8266,https://github.com/homieiot/homie-esp8266,1.3k,285,C++,2022-03-31T10:55:24Z,0,0,0,1,N/A,6220,18,N/A,1,0,0,0,0,0,0
hono,eclipse/hono,https://github.com/eclipse/hono,377,127,Java,2022-06-22T08:23:27Z,0,0,1,0,4.123579886,150737,106883,20861,1,0,0,0,0,1320,20861
HOOBS,hoobs-org/HOOBS,https://github.com/hoobs-org/HOOBS,484,47,Shell,2022-02-24T13:12:31Z,0,0,0,0,N/A,2012,701,N/A,0,0,0,0,0,0,0
ideam,rbccps-iisc/ideam,https://github.com/rbccps-iisc/ideam,14,9,Shell,2018-09-27T05:42:57Z,0,1,0,0,N/A,3973,1177,N/A,1,0,0,0,0,0,0
ioBroker.hue,iobroker-community-adapters/ioBroker.hue,https://github.com/iobroker-community-adapters/ioBroker.hue,36,23,JavaScript,2022-06-20T11:27:00Z,0,0,1,0,N/A,9139,2582,0,1,0,0,0,0,0,0
iotagent-json,telefonicaid/iotagent-json,https://github.com/telefonicaid/iotagent-json,36,75,JavaScript,2022-06-15T06:42:30Z,0,0,1,0,5.080548415,13346,7096,1167,1,0,0,108,1167,0,0
iotagent-node-lib,telefonicaid/iotagent-node-lib,https://github.com/telefonicaid/iotagent-node-lib,52,69,JavaScript,2022-06-23T09:19:21Z,0,0,1,0,4.387532694,50287,37077,6882,1,0,0,715,6882,0,0
iotagent-ul,telefonicaid/iotagent-ul,https://github.com/telefonicaid/iotagent-ul,32,50,JavaScript,2022-06-15T06:40:38Z,0,0,1,0,4.774047187,10895,6363,1102,1,0,0,124,1102,0,0
iotedgedev,Azure/iotedgedev,https://github.com/Azure/iotedgedev,136,62,Python,2022-06-15T09:38:30Z,0,0,0,0,3.855670103,10686,5181,1067,1,126,1067,0,0,0,0
iot-edge-v1,Azure/iot-edge-v1,https://github.com/Azure/iot-edge-v1,521,268,C,2019-03-26T20:39:59Z,0,0,1,0,N/A,119345,49611,N/A,1,0,0,68,427,77,1522
iot-java,ibm-watson-iot/iot-java,https://github.com/ibm-watson-iot/iot-java,53,81,HTML,2021-07-28T09:13:45Z,0,1,0,1,N/A,63260,56508,N/A,1,0,0,0,0,11,129
issues,esphome/issues,https://github.com/esphome/issues,192,30,none,2021-10-23T19:50:12Z,0,0,0,0,N/A,217,0,N/A,0,0,0,0,0,0,0
kapua,eclipse/kapua,https://github.com/eclipse/kapua,191,158,Java,2022-06-23T14:24:49Z,1,1,0,0,6.825087651,290587,200870,25670,1,0,0,0,0,2902,25670
kubeedge,kubeedge/kubeedge,https://github.com/kubeedge/kubeedge,5.1k,1.3k,Go,2022-06-23T13:30:06Z,0,1,1,0,N/A,2204127,1806924,N/A,1,0,0,0,0,0,0
kura,eclipse/kura,https://github.com/eclipse/kura,419,290,Java,2022-06-20T09:46:44Z,0,0,1,0,5.26600074,351738,237118,37842,1,0,0,0,0,2671,37842
lelylan,lelylan/lelylan,https://github.com/lelylan/lelylan,1.5k,93,none,2017-03-12T09:14:12Z,0,0,0,0,N/A,1311,0,N/A,0,0,0,0,0,0,0
lightweightm2m-iotagent,telefonicaid/lightweightm2m-iotagent,https://github.com/telefonicaid/lightweightm2m-iotagent,22,30,JavaScript,2022-06-23T12:36:09Z,0,0,1,0,5.673295455,6533,2349,352,1,0,0,25,352,0,0
macchina.io,macchina-io/macchina.io,https://github.com/macchina-io/macchina.io,478,139,JavaScript,2022-06-22T16:38:06Z,1,1,0,0,N/A,2715229,577325,0,1,0,0,0,0,0,0
mainflux,mainflux/mainflux,https://github.com/mainflux/mainflux,1.8k,529,Go,2022-06-21T15:40:20Z,0,1,1,0,N/A,839802,771889,N/A,1,0,0,0,0,0,0
mcs-lite-app,MCS-Lite/mcs-lite-app,https://github.com/MCS-Lite/mcs-lite-app,29,15,JavaScript,2018-05-17T05:35:19Z,1,1,0,0,22.02763158,29022,17501,760,1,0,0,68,760,0,0
mongoose-os,cesanta/mongoose-os,https://github.com/cesanta/mongoose-os,2.3k,429,C,2022-06-19T20:44:43Z,0,0,0,1,N/A,41762,6282,N/A,1,0,0,0,0,0,0
mycontroller-v1-legacy,mycontroller-org/mycontroller-v1-legacy,https://github.com/mycontroller-org/mycontroller,144,91,Java,2022-01-03T12:21:20Z,1,1,0,0,N/A,233072,44564,0,0,0,0,0,0,0,0
MySensors,mysensors/MySensors,https://github.com/mysensors/MySensors,1.2k,890,C,2022-04-18T06:21:14Z,0,0,1,1,N/A,51072,13848,N/A,1,0,0,0,0,0,0
