Project Name,Full Name,URL,Stars,Forks,Primary Language,Latest Commit Time,App,Cloud,Edge,Device,Primary Lan P/T Ratio,LOC,Primary Language LOC,Primary Lan #Test,Primary Lan TestLOC,Diff-Test-Language,Multi-Test-Language,PythonTestFile,PythonMockFile,PythonMockRate,PythonTestCases,PythonTestLOC,JSTestFile,JSMockFile,JSMockRate,JSTestCases,JSTestLOC,JavaTestFile,JavaMockFile,JavaMockRate,JavaTestCases,JavaTestLOC,TotalCases,TotalCaseLOC
blynk-server,blynkkk/blynk-server,https://github.com/blynkkk/blynk-server,50,42,Java,2022-06-09T09:20:58Z,1,1,0,0,20.21853282,60392,54956,175,2590,0,0,0,0,0,0,0,0,0,0,0,0,51,8,0.1568627451,175,2590,175,2590
cylon,hybridgroup/cylon,https://github.com/hybridgroup/cylon,3.9k,376,JavaScript,2016-08-26T10:16:22Z,0,1,0,0,3.186256781,6075,4630,226,1106,1,0,0,0,0,0,0,16,1,0.0625,226,1106,0,0,0,0,0,226,1106
devicehive-java-server,devicehive/devicehive-java-server,https://github.com/devicehive/devicehive-java-server,277,106,Java,2018-05-25T11:39:49Z,0,1,0,0,24.43495146,32153,26198,51,1030,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0.5,51,1030,51,1030
entity-controller,danobot/entity-controller,https://github.com/danobot/entity-controller,186,39,Python,2022-04-27T12:53:03Z,0,1,0,0,8.309734513,13851,4208,24,452,0,0,6,4,0.6666666667,24,452,0,0,0,0,0,0,0,0,0,0,24,452
freedomotic,freedomotic/freedomotic,https://github.com/freedomotic/freedomotic,373,492,Java,2022-04-06T16:21:39Z,1,1,0,0,42.32148377,92362,56058,124,1294,0,0,0,0,0,0,0,0,0,0,0,0,37,2,0.05405405405,124,1294,124,1294
Gladys,GladysAssistant/Gladys,https://github.com/GladysAssistant/Gladys,2.1k,253,JavaScript,2022-06-20T20:25:55Z,1,1,0,0,2.21299403,167100,73735,1422,22949,1,1,1,0,0,1,8,351,41,0.1168091168,1422,22949,0,0,0,0,0,1423,22957
Grow.js,JakeHartnell/Grow.js,https://github.com/JakeHartnell/Grow.js,21,11,JavaScript,2017-09-03T19:59:58Z,0,1,0,0,10.96396396,8109,2656,33,222,0,0,0,0,0,0,0,3,0,0,33,222,0,0,0,0,0,33,222
Grow-IoT,CommonGarden/Grow-IoT,https://github.com/CommonGarden/Grow-IoT,21,4,JavaScript,2018-08-30T18:24:20Z,1,1,0,0,31.06735751,33171,6189,27,193,0,0,0,0,0,0,0,3,0,0,27,193,0,0,0,0,0,27,193
home-assistant,home-assistant/core,https://github.com/home-assistant/home-assistant,53.5k,18.6k,Python,2022-06-23T21:35:10Z,1,1,0,0,1.822383055,1761443,1169906,16428,414510,0,0,2199,748,0.3401546157,16428,414510,0,0,0,0,0,0,0,0,0,0,16428,414510
kapua,eclipse/kapua,https://github.com/eclipse/kapua,191,158,Java,2022-06-23T14:24:49Z,1,1,0,0,6.825087651,290587,200870,2902,25670,0,0,0,0,0,0,0,0,0,0,0,0,379,111,0.2928759894,2902,25670,2902,25670
mcs-lite-app,MCS-Lite/mcs-lite-app,https://github.com/MCS-Lite/mcs-lite-app,29,15,JavaScript,2018-05-17T05:35:19Z,1,1,0,0,22.02763158,29022,17501,68,760,0,0,0,0,0,0,0,21,0,0,68,760,0,0,0,0,0,68,760
openhab-core,openhab/openhab-core,https://github.com/openhab/openhab-core,676,343,Java,2022-06-22T20:38:48Z,1,1,0,0,4.660316188,180011,155387,2151,27452,0,0,0,0,0,0,0,0,0,0,0,0,307,129,0.4201954397,2151,27452,2151,27452
pytradfri,home-assistant-libs/pytradfri,https://github.com/ggravlingen/pytradfri,867,131,Python,2022-06-23T19:12:45Z,0,1,0,0,9.380851064,5446,4879,72,470,0,0,15,1,0.06666666667,72,470,0,0,0,0,0,0,0,0,0,0,72,470
sitewhere,sitewhere/sitewhere,https://github.com/sitewhere/sitewhere,892,370,Java,2021-03-23T20:20:57Z,1,1,0,0,368.3714286,40895,38784,13,105,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,105,13,105
smarthome,smarthomeNG/smarthome,https://github.com/smarthomeNG/smarthome,102,89,Java,2022-05-02T11:09:00Z,1,1,0,0,7.219035447,298497,218651,2126,26603,1,1,0,0,0,0,0,9,0,0,111,845,341,145,0.4252199413,2126,26603,2237,27448
thingsboard,thingsboard/thingsboard,https://github.com/thingsboard/thingsboard,11.9k,3.8k,Java,2022-06-21T14:18:45Z,1,1,0,0,7.19510847,396519,177924,1149,21711,1,1,9,0,0,86,1362,0,0,0,0,0,188,48,0.2553191489,1149,21711,1235,23073
tuyapi,codetheweb/tuyapi,https://github.com/codetheweb/tuyapi,1.5k,273,JavaScript,2022-06-22T02:40:04Z,0,1,0,0,8.066666667,33768,2040,26,225,0,0,0,0,0,0,0,4,0,0,26,225,0,0,0,0,0,26,225
yoda.js,yodaos-project/yoda.js,https://github.com/yodaos-project/yoda.js,184,48,JavaScript,2019-10-21T04:22:26Z,0,1,0,0,2.550860197,32571,21259,341,5987,0,0,0,0,0,0,0,102,39,0.3823529412,341,5987,0,0,0,0,0,341,5987
