Project,full-name,URL,Description,Stars,Forks,Primary Language,Latest-commit-time,App,Cloud,Edge,Device,Target,Type,Primary Lan P/T Ratio,LOC,Primary Language LOC,CodeComplexity,Primary Lan TestLOC,Diff-Test-Language,Multi-Test-Language,PythonTestFile,PythonMockFile,PythonMockRate,PythonTestCases,PythonTestLOC,JSTestFile,JSMockFile,JSMockRate,JSTestCases,JSTestLOC,JavaTestFile,JavaMockFile,JavaMockRate,JavaTestCases,JavaTestLOC_w/o,JavaTestLOC_with,PJJTotalCases,PJJTotalCaseLOC,PJJTestFiles
blynk-server,blynkkk/blynk-server,https://github.com/blynkkk/blynk-server,"Blynk is an Internet of Things Platform aimed to simplify building mobile and web applications for the Internet of Things. Easily connect 400+ hardware models like Arduino, ESP8266, ESP32, Raspberry Pi and similar MCUs and drag-n-drop IOT mobile apps for iOS and Android in 5 minutes",50,42,Java,2022-06-09T09:20:58Z,1,1,0,0,Cloud,Server,20.21853282,60392,54956,4328,2590,0,0,0,0,0,0,0,0,0,0,0,0,51,8,0.1568627451,175,2590,3409,175,2590,51
cylon,hybridgroup/cylon,https://github.com/hybridgroup/cylon,"JavaScript framework for robotics, drones, and the Internet of Things (IoT)",3.9k,376,JavaScript,2016-08-26T10:16:22Z,0,1,0,0,Device,Framework,3.186256781,6075,4630,298,1106,1,0,0,0,0,0,0,16,1,0.0625,226,1106,0,0,0,0,0,0,226,1106,16
devicehive-java-server,devicehive/devicehive-java-server,https://github.com/devicehive/devicehive-java-server,DeviceHive Java Server,277,106,Java,2018-05-25T11:39:49Z,0,1,0,0,App,Server,24.43495146,32153,26198,1826,1030,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0.5,51,1030,1681,51,1030,6
entity-controller,danobot/entity-controller,https://github.com/danobot/entity-controller,"Entity and lighting controller for managing devices via timers, scripts, and sun-based time restrictions.",186,39,Python,2022-04-27T12:53:03Z,0,1,0,0,Device,Device,8.309734513,13851,4208,399,452,0,0,6,4,0.6666666667,24,452,0,0,0,0,0,0,0,0,0,0,0,24,452,6
freedomotic,freedomotic/freedomotic,https://github.com/freedomotic/freedomotic,Open IoT Framework,373,492,Java,2022-04-06T16:21:39Z,1,1,0,0,App,Framework,42.32148377,92362,56058,5569,1294,0,0,0,0,0,0,0,0,0,0,0,0,37,2,0.05405405405,124,1294,2443,124,1294,37
Gladys,GladysAssistant/Gladys,https://github.com/GladysAssistant/Gladys,"A privacy-first, open-source home assistant",2.1k,253,JavaScript,2022-06-20T20:25:55Z,1,1,0,0,App,App,2.21299403,167100,73735,2213,22949,1,1,1,0,0,1,8,351,41,0.1168091168,1422,22949,0,0,0,0,0,0,1423,22957,352
Grow.js,JakeHartnell/Grow.js,https://github.com/JakeHartnell/Grow.js,Now a package in Grow-IoT,21,11,JavaScript,2017-09-03T19:59:58Z,0,1,0,0,Device,Package,10.96396396,8109,2656,180,222,0,0,0,0,0,0,0,3,0,0,33,222,0,0,0,0,0,0,33,222,3
Grow-IoT,CommonGarden/Grow-IoT,https://github.com/CommonGarden/Grow-IoT,Software packages for smart growing environments.,21,4,JavaScript,2018-08-30T18:24:20Z,1,1,0,0,Device,Package,31.06735751,33171,6189,479,193,0,0,0,0,0,0,0,3,0,0,27,193,0,0,0,0,0,0,27,193,3
home-assistant,home-assistant/core,https://github.com/home-assistant/home-assistant,Open source home automation that puts local control and privacy first.,53.5k,18.6k,Python,2022-06-23T21:35:10Z,1,1,0,0,App,App,1.822383055,1761443,1169906,65053,414510,0,0,2199,748,0.3401546157,16428,414510,0,0,0,0,0,0,0,0,0,0,0,16428,414510,2199
kapua,eclipse/kapua,https://github.com/eclipse/kapua,No description or website provided.,191,158,Java,2022-06-23T14:24:49Z,1,1,0,0,Edge,Platform,6.825087651,290587,200870,12641,25670,0,0,0,0,0,0,0,0,0,0,0,0,379,111,0.2928759894,2902,25670,45542,2902,25670,379
