Project Name,Full Name,URL,Stars,Forks,Primary Language,Latest Commit Time,App,Cloud,Edge,Device,Primary Lan P/T Ratio,LOC,Primary Language LOC,Primary Lan #Test,Primary Lan TestLOC,Diff-Test-Language,Multi-Test-Language,PythonTestFile,PythonMockFile,PythonMockRate,PythonTestCases,PythonTestLOC,JSTestFile,JSMockFile,JSMockRate,JSTestCases,JSTestLOC,JavaTestFile,JavaMockFile,JavaMockRate,JavaTestCases,JavaTestLOC,TotalCases,TotalCaseLOC
Adafruit_IO_Python,adafruit/Adafruit_IO_Python,https://github.com/adafruit/Adafruit_IO_Python,201,90,Python,2022-03-10T19:53:02Z,1,0,1,1,5.720698254,3330,2695,46,401,0,0,4,0,0,46,401,0,0,0,0,0,0,0,0,0,0,46,401
amazon-dash,Nekmo/amazon-dash,https://github.com/Nekmo/amazon-dash,755,67,Python,2022-05-18T22:18:43Z,0,0,1,0,3.559322034,4949,2959,118,649,0,0,8,3,0.375,118,649,0,0,0,0,0,0,0,0,0,0,118,649
ditto,eclipse/ditto,https://github.com/eclipse/ditto,375,135,Java,2022-06-22T11:00:49Z,0,0,0,0,3.437639185,488497,372633,8432,83971,0,0,0,0,0,0,0,0,0,0,0,0,1213,172,0.141797197,8432,83971,8432,83971
HAP-python,ikalchev/HAP-python,https://github.com/ikalchev/HAP-python,468,106,Python,2022-01-11T20:39:37Z,0,0,1,1,1.834140436,12829,9364,116,3304,0,0,16,0,0,116,3304,0,0,0,0,0,0,0,0,0,0,116,3304
hawkbit,eclipse/hawkbit,https://github.com/eclipse/hawkbit,330,154,Java,2022-06-10T16:28:59Z,0,0,0,0,3.744342482,140405,114258,1366,24083,0,0,0,0,0,0,0,0,0,0,0,0,143,28,0.1958041958,1366,24083,1366,24083
hono,eclipse/hono,https://github.com/eclipse/hono,377,127,Java,2022-06-22T08:23:27Z,0,0,1,0,4.123579886,150737,106883,1320,20861,0,0,0,0,0,0,0,0,0,0,0,0,238,114,0.4789915966,1320,20861,1320,20861
iotagent-json,telefonicaid/iotagent-json,https://github.com/telefonicaid/iotagent-json,36,75,JavaScript,2022-06-15T06:42:30Z,0,0,1,0,5.080548415,13346,7096,108,1167,0,0,0,0,0,0,0,20,15,0.75,108,1167,0,0,0,0,0,108,1167
iotagent-node-lib,telefonicaid/iotagent-node-lib,https://github.com/telefonicaid/iotagent-node-lib,52,69,JavaScript,2022-06-23T09:19:21Z,0,0,1,0,4.387532694,50287,37077,715,6882,0,0,0,0,0,0,0,83,28,0.3373493976,715,6882,0,0,0,0,0,715,6882
iotagent-ul,telefonicaid/iotagent-ul,https://github.com/telefonicaid/iotagent-ul,32,50,JavaScript,2022-06-15T06:40:38Z,0,0,1,0,4.774047187,10895,6363,124,1102,0,0,0,0,0,0,0,14,7,0.5,124,1102,0,0,0,0,0,124,1102
iotedgedev,Azure/iotedgedev,https://github.com/Azure/iotedgedev,136,62,Python,2022-06-15T09:38:30Z,0,0,0,0,3.855670103,10686,5181,126,1067,0,0,16,8,0.5,126,1067,0,0,0,0,0,0,0,0,0,0,126,1067
kura,eclipse/kura,https://github.com/eclipse/kura,419,290,Java,2022-06-20T09:46:44Z,0,0,1,0,5.26600074,351738,237118,2671,37842,0,0,0,0,0,0,0,0,0,0,0,0,246,121,0.4918699187,2671,37842,2671,37842
lightweightm2m-iotagent,telefonicaid/lightweightm2m-iotagent,https://github.com/telefonicaid/lightweightm2m-iotagent,22,30,JavaScript,2022-06-23T12:36:09Z,0,0,1,0,5.673295455,6533,2349,25,352,0,0,0,0,0,0,0,5,0,0,25,352,0,0,0,0,0,25,352
particle-cli,particle-iot/particle-cli,https://github.com/particle-iot/particle-cli,213,94,JavaScript,2022-06-08T01:35:53Z,1,0,0,0,4.415878144,37045,23467,752,4333,0,0,0,0,0,0,0,71,5,0.07042253521,752,4333,0,0,0,0,0,752,4333
synse-server,vapor-ware/synse-server,https://github.com/vapor-ware/synse-server,34,10,Python,2022-05-10T18:13:39Z,0,0,1,0,0.8324691579,14440,10249,348,5593,0,0,23,6,0.2608695652,348,5593,0,0,0,0,0,0,0,0,0,0,348,5593
Zwave2Mqtt,OpenZWave/Zwave2Mqtt,https://github.com/OpenZWave/Zwave2Mqtt,346,96,JavaScript,2021-02-24T07:41:55Z,0,0,1,0,9.590017825,34497,5941,89,561,0,0,0,0,0,0,0,9,1,0.1111111111,89,561,0,0,0,0,0,89,561
