Projectname,Path,LOC
cylon,E:/IOT_INFO/repos/cylon/spec/lib/api.spec.js,4
cylon,E:/IOT_INFO/repos/cylon/spec/lib/api.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/adaptor.spec.js,5
cylon,E:/IOT_INFO/repos/cylon/spec/lib/adaptor.spec.js,5
cylon,E:/IOT_INFO/repos/cylon/spec/lib/api.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/basestar.spec.js,5
cylon,E:/IOT_INFO/repos/cylon/spec/lib/basestar.spec.js,5
cylon,E:/IOT_INFO/repos/cylon/spec/lib/basestar.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/basestar.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/adaptor.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/api.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/basestar.spec.js,5
cylon,E:/IOT_INFO/repos/cylon/spec/lib/basestar.spec.js,8
cylon,E:/IOT_INFO/repos/cylon/spec/lib/basestar.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/basestar.spec.js,8
cylon,E:/IOT_INFO/repos/cylon/spec/lib/basestar.spec.js,7
cylon,E:/IOT_INFO/repos/cylon/spec/lib/basestar.spec.js,7
cylon,E:/IOT_INFO/repos/cylon/spec/lib/basestar.spec.js,8
cylon,E:/IOT_INFO/repos/cylon/spec/lib/basestar.spec.js,7
cylon,E:/IOT_INFO/repos/cylon/spec/lib/config.spec.js,6
cylon,E:/IOT_INFO/repos/cylon/spec/lib/config.spec.js,4
cylon,E:/IOT_INFO/repos/cylon/spec/lib/config.spec.js,4
cylon,E:/IOT_INFO/repos/cylon/spec/lib/config.spec.js,5
cylon,E:/IOT_INFO/repos/cylon/spec/lib/config.spec.js,5
cylon,E:/IOT_INFO/repos/cylon/spec/lib/config.spec.js,7
cylon,E:/IOT_INFO/repos/cylon/spec/lib/basestar.spec.js,7
cylon,E:/IOT_INFO/repos/cylon/spec/lib/cylon.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/cylon.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/cylon.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/cylon.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/config.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/cylon.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/cylon.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/cylon.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/cylon.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/cylon.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/driver.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/cylon.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/driver.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/driver.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/cylon.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/driver.spec.js,9
cylon,E:/IOT_INFO/repos/cylon/spec/lib/driver.spec.js,5
cylon,E:/IOT_INFO/repos/cylon/spec/lib/driver.spec.js,5
cylon,E:/IOT_INFO/repos/cylon/spec/lib/driver.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/driver.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/driver.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/driver.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/driver.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/cylon.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/driver.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/driver.spec.js,23
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/driver.spec.js,13
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,5
cylon,E:/IOT_INFO/repos/cylon/spec/lib/driver.spec.js,5
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,5
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,4
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,4
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,5
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,4
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,5
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,5
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,4
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,5
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,7
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,5
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,4
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,4
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,4
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,5
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,4
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,4
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,4
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,4
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,4
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,4
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,4
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,4
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,4
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,5
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,4
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,4
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/initializer.spec.js,6
cylon,E:/IOT_INFO/repos/cylon/spec/lib/initializer.spec.js,5
cylon,E:/IOT_INFO/repos/cylon/spec/lib/initializer.spec.js,5
cylon,E:/IOT_INFO/repos/cylon/spec/lib/digital-pin.spec.js,4
cylon,E:/IOT_INFO/repos/cylon/spec/lib/initializer.spec.js,6
cylon,E:/IOT_INFO/repos/cylon/spec/lib/logger.spec.js,5
cylon,E:/IOT_INFO/repos/cylon/spec/lib/initializer.spec.js,3
cylon,E:/IOT_INFO/repos/cylon/spec/lib/logger.spec.js,6
cylon,E:/IOT_INFO/repos/cylon/spec/lib/initializer.spec.js,4
